Codigo	Descricao	Descrição Inglês
	BIELA - 3-17	
	BIELA - 4-7A	
51	BIELA 29476NM-096	
50	BIELA 29476NM-140	
	BIELA 3-17	
1801	BIELA 5-12	
229	BIELA 51254K	
JYF-E110-08	BIELA DE REGULAGEM	BEARING ROD CHOOSE
	BIELA DE REGULAGEM 4X80	
JYF-E30-08	BIELA DE TRAMA 10X27	WEDT CRANR
	BIELA DO CABEÇOTE	
17010218	BIELA DO DENTE	
12470150185	BIELA DO LANÇADOR	LOOPER CONNECTING ROD 35741A/753111
NL-29105AK JP	BIELA DO LOOPER SEM 56343C E 56343E -	
NL-29105AK JP	BIELA DO LOOPER SEM 56343C E 56343E - 	
	BIELA GK8 - 3-6	
	BIELA GRB - (5-13)	
KS-60-372	BIELA ROSCA ESQUERDA C/ESFERA - 57841	
	BISCOITO CREAM CRACKER 345G	
	BISCOITO CREAM CRACKER 350G	
	BISCOITO MAIZENA TRADICIONAL 350G	
	BITS PHILIPS PH2 65MM MAKITA	
12470310013	BLADE 72X17X0.6	
11422352010	BLADE FIXED	BLADE FIXED
	BLADE LAMINA	
JYF-C30-16	BLOCO DE AJUSTE CURTO	SHORT ADJUSTMENT BLOCK
11130823310	BLOCO DE POLIA INFERIOR	LOWER PULLEY BLOCK
11158199900	BLOCO DE POLIA INFERIOR - N	LOWER PULLEY BLOCK-N
11130211750	BLOCO DE ROLAMENTO DIANTEIRO	BEARING BLOCK (FRONT)
11130211830	BLOCO DE ROLAMENTO INFERIOR	BEARING BLOCK (REAR)
11131715500	BLOCO DE ROLAMENTO SUPERIOR	UPPER BEARING BLOCK
11408100010	BLOCO DE ROLAMENTO TRASEIRO	REAR BEARIG BLOCK-X
JYF-D30-07	BLOCO DIREITO	RIGHT BLOCK
11158193400	BLOCO ESPAÇADOR BATENTE	SPACER-STOPPER BLOCK
11405578010	BLOCO ESPAÇADOR DE ISOLAMENTO	ISOLATION SPACER BLOCK 
JYF-D30-06	BLOCO ESQUERDO	LEFT BLOCK
11406622030	BOBBIN FLANGE S FOR 35X218	BOBBIN FLANGE S FOR 35X218
11406355000	BOBBIN HOLDER FRONT	
11406356000	BOBBIN HOLDER REAR	
	BOBINA TUBO COBRE FLEX COBRESUL 1/2-12,7MM	
	BOBINA TUBO COBRE FLEX COBRESUL 1/4-6,35MM	
11195221200	BOCAL 5MM COM TUBO DE METAL	NOZZLE 5MM WITH METAL TUBE
	BOCAL E-27 PORCELANA	
	BOIA ELET. NIVEL INF SUP 15A CB-2012 1,2M 110/220V	
	BOIA ELETRICA NIVEL INF/SUP 15A 110/220V	
12550110396	BOLA DIA 3.969 CLASSE IV	BALL DIA 3.969 CLASS IV 
	BOM AR	
	BOM BRIL	
	BOMBA AGUA DAGUA	
	BOMBA ÓLEO MAZDA	
	BOMBA PARA GRAXA MANUAL 04KG HJ-4	
11412737000	BOOM HOLDER	
11404936010	BOOM HOLDER 	BOOM HOLDER 
11408171020	BOOM HOLDER WR-S	
11401039000	BOOM MAGNET ASSY	
32	BORRACHA BRANCA	
	BORRACHA ISOLADORA	
	BOTA DE ELÁSTICO LATERAL №35	
5004055	BOTA DE ELÁSTICO LATERAL №36	
5004056	BOTA DE ELÁSTICO LATERAL №37	
5004057	BOTA DE ELÁSTICO LATERAL №38	
5003592	BOTA DE ELÁSTICO LATERAL №39	
5004059	BOTA DE ELÁSTICO LATERAL №40	
5004060	BOTA DE ELÁSTICO LATERAL №41	
5004061	BOTA DE ELÁSTICO LATERAL №42	
5004062	BOTA DE ELÁSTICO LATERAL №43	
5004063	BOTA DE ELÁSTICO LATERAL №44	
	BOTA S/CADARÇO COM BICO PVC N39	
	BOTA S/CADARÇO COM BICO PVC N40	
	BOTA S/CADARÇO COM BICO PVC N41	
	BOTA S/CADARÇO COM BICO PVC N42	
14061129400	BOTÃO DE PARADA VERMELHO	EM STOP MUCH HD TURN TO REL NC RED
11157067300	BOTÃO DE TENSÃO PRA FIO D2.5MM	TENSION KNOB FOR WIRE D2.5MM
14060009000	BOTÃO PRETO MOMENTANEO	PUSH BUTTON MOMENTARY BLACK
14060009300	BOTÃO VERDE MOMENTANEO	PUSH BUTTON MOMENTARY GREEN
11407724000	BRAÇADEIRA DIANTEIRA - D	FRONT CLAMP - D
