Codigo	Descricao	Descrição Inglês
	LUVA DE VINIL TAM P	
	LUVA DE VINIL TRANSP SEM PO TAM M	
	LUVA DE VINIL TRANSP SEM PO TAM P	
	LUVA DE VINIL TRANSPARENTE TAM M	
	LUVA DESGASTE EIXO DIREÇÃO	
	LUVA ESGOTO 100MM	
	LUVA GALV 1/2	
	LUVA GALV 3"	
	LUVA GALV. 1"	
	LUVA GALV. 2"	
	LUVA GALV. 3	
	LUVA GALVANIZADA 2"	
	LUVA GALVANIZADA 3"	
	LUVA LATÃO FEMEA 1 1/2X1 1/2	
	LUVA NITRILICA CLORINADA 45CM 0,55MM	
5001233	LUVA NITRILI-KA VERDE	
	LUVA NYLON PU "EP"	
	LUVA NYLON PU "G"	
	LUVA NYLON PU "M"	
	LUVA NYLON PU "P"	
	LUVA PU "XP"	
	LUVA PVC 100MM	
	LUVA PVC ESG. DN 100	
	LUVA PVC SD 20MM	
	LUVA PVC SD 25MM	
	LUVA PVC SD 32MM	
	LUVA PVC SD RC 32MMX1"	
	LUVA PVC SOLDAVEL 20MM	
	LUVA PVC SOLDAVEL 25MM	
	LUVA RASPA PUNHO 07CM CA 42739	
	LUVA RASPA PUNHO 20CM CA 35559	
	LUVA RED PVC SD 32X25MM	
	LUVA SIMPLES ESGOTO 100MM	
	LUVA SOLD 25MM	
58	LUVA SOLDADOR	
	LUVA SOLDAVEL 32MM	
	LUVA TERMICA + COURO RASPA FORRO ALG	
	LUVA TÉRMICA+COURO RASPA FORRO ALGODÃO	
	LUVA VAQUETA	
	LUVA VAQUETA PETROLEIRA SOFT	
	LUVA VAQUETA TAM 08-09	
11406386000	MACA DA MOLA	SPRING STRETCHER
	MAÇARICO PORTATIL VIX AUTOACEND TURBO	
	MACARRÃ ESPAGUETE 400G	
	MACARRAO ESPAGUETE 400G	
	MACARRÃO ESPAGUETE 400G	
	MACARRAO PARAFUSO 200G	
	MACARRÃO PARAFUSO 200G	
	MAGNET	
11401685020	MAGNET HOLDER ASSY R-6	
14429999004	MAGNETIC SENSOR ANGLED CONNECTOR	MAGNETIC SENSOR ANGLED CONNECTOR
14421011003	MAGNETIC SENSOR NPN NO M12	MAGNETIC SENSOR NPN NO M12
14421011001	MAGNETIC SENSOR PNP NO M12	MAGNETIC SENSOR PNP NO M12
12470200002	MAILLONS 160C 2.25 P.HA	MAILLONS 160C 2.25 P.HA
14722110050	MALE-FEMALE CONNECTOR RECT 3POLE/PIN 5A	MALE-FEMALE CONNECTOR RECT 3POLE/PIN 5A
17010160	MALHA DE FILTRO	FILTER MESH 
	MANCAL F - 205	
	MANCAL P - 205	
	MANCAL P - 208	
	MANCAL P 205	
	MANCAL P 208	
	MANDRIL	
	MANG.PU.6	
12609400032	MANGA MASCULINA	MALE CLEVIS 
	MANGOTE DE RASPA C/FIVELA TAM G	
5003601	MANGOTE RASPA COM FIVELA	
	MANGUEIRA ÁGUA/AR 1/2 X 2,75 300PSI	
	MANGUEIRA DE AR 1/2	
	MANGUEIRA DE PRESSÃO 1/2"	
	MANGUEIRA DN12 - 1/2	
	MANGUEIRA INFERIOR 50CT	
	MANGUEIRA P/JARDIM SUPERFLEX EXPORT 30M VERDE	
	MANGUEIRA PU	
	MANGUEIRA PU 10	
	MANGUEIRA PU 5M	
	MANGUEIRA PU 6	
	MANGUEIRA PU 6 VERDE	
	MANGUEIRA PU 8	
	MANGUEIRA PU-10	
	MANGUEIRA PU-12	
	MANGUEIRA PU-6	
	MANGUEIRA PU-8	
	MANGUEIRA SUPERIOR	
	MANGUEIRA TUBO PU-10	
	MANGUEIRA TUBO PU-12	
	MANGUEIRA TUBO PU-6	
	MANGUEIRA TUBO PU-8	
	MANTA ASFALTICA	
	MANTA ASFÁLTICA	
	MANTA ASFALTICA MULTISEAL 10MX300MM	
	MANTA MULTISEAL S 10MX300MM	
	MARCA TEXTO AMARELO JOCAR	
11	MARCADOR DE TEXTO AMARELO	
	MARCADOR INDL ECOLOGICO PT METAL 3MM AMARE	
	MARCADOR INDL ECOLOGICO PT METAL 3MM BRANC	
	MARCADOR INDL ECOLOGICO PT METAL 3MM VERDE	
	MARCADOR INDUSTRIAL AMARELO	
	MARCADOR INDUSTRIAL BRANCO	
	MARCADOR INDUSTRIAL VERDE	
	MARCADOR P/RETRO 2.0 AZUL	
13	MARCADOR P/RETRO 2.0 PRETO	
21	MARCADOR P/RETRO 2.0 VERMELHO	
	MASCARA CINZA	
	MASCARA DE SOLDA	
	MASCARA DE SOLDA AUTOMATICA	
	MASCARA DESCARTAVEL	
5002514	MASCARA RESPIRATORIA AZUL	
	MASSA CORRIDA BALDE 25KG IQUINE	
	MASSA PLASTICA 400GR CINZA CARPLAST	
	MECANISMO COMP C/ACIONAMENTO SUP 6L BRANCO	
12606130040	MEDIDOR DE PRESSÃO	PRESSURE GAUGE-G1/8-10BR-JN
14480220101	MELT PRASS TRANSDUCER 200BAR 4-20MA	MELT PRASS TRANSDUCER 200BAR 4-20MA
14480235101	MELT PRESS TRANSDUCER 350BAR  4-20MA 	MELT PRESS TRANSDUCER 350BAR  4-20MA 
NL-51157J	MESA DO CORAÇÃO	
JYF-E30-13	MESA PASSA FITA 10X27	LOW - RIBBON HOLDER
	METALON 20X20X1,20MM 6M	
	METALON 30X30X1,20MM 6M	
	METALON 40X40X1,20MM 6M	
14070101000	MICRO SW TOP ACT. PLUNGER HEAD 10/0	MICRO SW TOP ACT. PLUNGER HEAD 10/0
	MICTORIO COMPLETO	
11157108900	MIDDLE TUBE	
	MILHO VERDE	
	MILHO VERDE EM CONSERVA 170G	
12601160202	MINI CILINDRO DE DUPLA AÇÃO 20X100	DOUBLE ACTING MINI CYLINDER DIA20X100SM
12601110120	MINI NMAG CYL-DIA 12X25-JN	MINI NMAG CYL-DIA 12X25-JN
	MISTURA PARA BOLO APTI 400G	
14295100000	MÓDULO CONVERSOR TTL	TTL CONVERTER MODULE
11131601810	MOLA	SPRING
DK-244413:93	MOLA - 51292F4-	
	MOLA 042447	
5845	MOLA 8-5	
11423179000	MOLA CLIPPER COM BUCHA	CLIPPER SPRING WITH BUSH/32-02-43
11124030430	MOLA D 0,5	SPRING D 0,5
JYF-G30-69	MOLA DA CATRACA	SPRING
	MOLA DA ENGRENAGEM DE CATRACA	
11406441000	MOLA DE COMPRESSÃO	COMPRESSION SPRING
11157082300	MOLA DE FREIO ELETROMAG. DE CONTRA GOLPE	I ELECTROMAG BRAKE SPRING COUNTER-COUP
11130873970	MOLA DE LAÇO D 1,5	LOOP SPRING D1,5
	MOLA DE PARADA DA TRAMA 0,8 MM DIREITA	
	MOLA DE PARADA DA TRAMA 0,8 MM ESQUERDA	
JK-0117	MOLA DE PARADA DA TRAMA 0,8MM DIREITA	
JYF-J30-09-B	MOLA DE PARADA DE TRAMA DIREITA 0,80	WEFT SPRING
JYF-C30-16	MOLA DE PARADA DE TRAMA ESQUERDO 0,80	WEFT SPRING
JYF-D30-07	MOLA DE TENSÃO ( CADARÇO )	TENSION SPRING (CORD)
11406443000	MOLA DE TENSÃO D0,7/D10,5	TENSION SPRING D0,7/D10,5
JYF-J30-90	MOLA DE TENSÃO DA TRAMA	WEFT TENSION SPRING
11130606610	MOLA DE TENSÃO DE TRAMA	WEFT TENSION SPRING
11157056000	MOLA DE TENSÃO DO SUPORTE GIRATÓRIO	SWIVEL BRACKET TENSION SPRING
17010275	MOLA DE VIBRAÇÃO	VIBRATING SCREEN SPRING
11131604310	MOLA DIST. DO BAG	SPRING
11131652420	MOLA DO COMPENSADOR	COMPENSATION SPRING
11131652420	MOLA DO COMPENSADOR 	COMPENSATION SPRING
JYF - G30-32	MOLA DO EXCENTRICO DO AUXILIAR	AUXILIARY ECCENTRIC SPRING
	MOLA DO FREIO BAG	
	MOLA DO FREIO LEVE	
11305611000	MOLA DO SINTONIZADOR	TUNER SPRING DIA 2.1
11131601310	MOLA PARA BOTÃO DE TENSÃO	SPRING FOR TENSION KNOB
11406442000	MOLA PARA TENSOR	SPRING FOR STRETCHER
11407033010	MOLA WCL NOVA - H	WCL SPRING NEW - H
11407032010	MOLA WCL NOVA - L	WCL SPRING NEW - L
11407030010	MOLA WCL NOVA - M	WCL SPRING NEW - M
	MOLHO DE TOMATE 300G	
	MORSA 12"/MR-5	
	MOTOR LM 750W	
	MOTORFIX HIDRAULICO AW 32 200LTS	
	MOTORFIX REDUX HD 320 200LTS	
12601210323	M-THD COMPACT NMAG CYL-DIA32X25-FS	M-THD COMPACT NMAG CYL-DIA32X25-FS
11500176085	NH- SIHER RUNG-3 SENSAT 250A/1000V	NH- SIHER RUNG-3 SENSAT 250A/1000V
11130824310	NILOS RING (ZAV) SPL.	NILOS RING (ZAV) SPL.
	NIPLE 1/2	
	NIPLE 1/2"	
	NIPLE 2" PONTA CURVADA	
	NIPLE 3/4	
	NIPLE DE 1" GALV	
	NIPLE DUPLO FG 2 BSP-Z	
	NIPLE DUPLO GALV. 1	
	NIPLE GALV 1"	
	NIPLE GALV 2'	
	NIPLE GALV. 3	
	NIPLE GALV. 3/4"	
	NIPLE GALVANIZADO 2"	
	NIPLE ROSC. PVC 1/2	
	NIVEL A LASER VERDE GLL 1222 G	
	NIVEL DE ALUMINIO 14"	
12470150108	NUT (LEFT THREAD) 269	NUT (LEFT THREAD) 269
12470150136	NUT 18	NUT 18
12470150125	NUT 258 	NUT 258 
12470150096	NUT 258A	NUT 258A
11130565010	O RING	O RING
12362104100	O RING NBR ID41X2 (90°+5)A	O RING NBR ID41X2 (90°+5)A
12362105000	O RING NBR ID50X2.5 (90°+5)A	O RING NBR ID50X2.5 (90°+5)A
	OCULOS DE PROTEÇÃO DE SEGURANÇA	
	ÓCULOS POLICARB AR DANNY	
	OCULOS SEG LENTE CINZA ESCURA	
	ODORIZADOR DE AMBIENTE 250ML	
	ODORIZADOR DE AMBIENTE 250ML - PURO AR	
	ÓLEO COMPRESSOR IGLOG 500ML	
	OLEO DE SOJA 900ML	
	ÓLEO DE SOJA 900ML	
	ÓLEO GIRASSOL	
	ÓLEO HIDRAULICO AW 32	
	ÓLEO HIDRÁULICO MOTORFIX AW 32 - 200LT	
	ÓLEO MINERAL STANTEX LA 350	
	ÓLEO MOTO MOTORFIX HIDRÁULICO HL 68 - TB 200LTS	
	OLEO PNEUMATICO MFP 10-W	
	ÓLEO STANTEX S 3181	
	ORBIFIX	
5001361	ORBIFIX 4 (LOCTITE)	
	ORGANIZADOR DE ESCRITORIO	
	ORGANIZADOR DE ESCRITORIO HORIZ TRIPLO CRISTAL MAXCRIL	
	ORING /// R-04	
	ORING /// R-07	
	ORING /// R-14	
	ORING /// R-17	
12362105501	O-RING NBR ID55 × 2 (90 ± 5 SHORE A)	O RING NBR ID55X2 (90°+5)A
	ORING R-16	
	PA ALLEM C/CHATA M3X10	
	PA ALLEM C/CHATA M3X15	
	PA ALLEM C/CHATA M3X20	
	PA ALLEM C/CHATA M3X25	
	PA ALLEM C/CHATA M5X10	
	PA ALLEM C/CHATA M5X20	
	PA ALLEM C/CHATA M5X25	
	PA ALLEM C/CHATA M5X30	
	PA ALLEM C/CHATA M5X8	
	PA ALLEM C/CHATA M6X8	
	PA ALLEM C/CIL M3X8	
	PA ALLEM C/CIL M4X12	
	PA ALLEM C/CIL M4X30	
	PA ALLEM C/CIL M6X20	
	PA ALLEM M3X12	
	PA ALLEM M4X20	
	PA ALLEM M4X25	
	PA ALLEM M4X8	
	PA ALLEM M5X12	
	PA ALLEM M5X40	
	PA ALLEM M6X12	
	PA ALLEM M6X50	
	PA ALLEM S/CAB M10X10	
	PA ALLEM S/CAB M10X12	
	PA ALLEM S/CAB M12X12	
	PA ALLEM S/CAB M4X20	
	PA ALLEM S/CAB M4X5	
	PA ALLEM S/CAB M4X6	
	PA ALLEM S/CAB M5X8	
	PA ALLEM S/CAB M6X10	
	PA ALLEM S/CAB M6X6	
	PA ALLEM S/CAB M8X8	
	PA ALLEN C/CHATA M5X15	
	PA C/C SI 5X60	
	PA C/C SI M8X60	
	PA CH SI MA INOX 304 4X20	
	PA CH SI MA INOX 304 5X25	
	PA CH SI MA INOX 304 6X20	
	PA CH SI MA INOX 304 8X25	
	PA CL SI INOX 304 4X20	
	PA CL SI INOX 304 5X20	
	PA CL SI INOX 304 6X40	
	PA CL SI INOX 304 6X60	
	PA CL SI MA ET 5X20	
	PA CL SI MA ET 6X25	
	PA CL SI MA ET 6X40	
	PA CL SI MA ET 6X55	
	PA CL SI MA ET 8X50	
	PA CL SI MA INOX 304 4X25	
	PA DE BICO GRANDE C/CABO 120CM	
5001612	PÁ DE LIXO COM CABO 40CM	
	PA FR C/PO SX UNC ZB 1/4" X 3"	
	PÁ P/LIXO PLAST CABO LONGO NALIN	
	PA SX RS ZB 3/16" X 40MM	
	PAARAFUSO M5X30	
11176104610	PACOTE DE TELA CILINDRICA DE 3 CAMADAS	3 LAYER CYLINDRICAL SCREEN PACK 
15410100100	PAINEL	SMPS 230VAC 24VDC 77W PANEL TDK LAMBDA 
5003378	PALHA DE AÇO	
5003378	PALHA DE AÇO Nº2	
5003582	PANO DE CHÃO	
	PANO DE CHÃO COMUM	
	PANO DE CHÃO PEQUENO FINO	
	PANO DE CHÃO PEQUENO FINO 38X58	
5000393	PAPEL A4	
	PAPEL A4 REPORT 75G SUZANO C/500FL	
	PAPEL HIG ROLÃO BRANCO 8X300M	
	PAPEL HIG ROLÃO BRANCO 8X300M LIRIOS DO CAMPO	
	PAPEL HIGIÊNICO 8X300 100% CELULOSE	
5001123	PAPEL HIGIENICO FD C/8	
	PAPEL OF BRANCO A4 210MMX297MM 75G 500FLS	
	PAPEL OPALINE 180GRS BRANCO	
	PAPEL OPALINE 50FLS 180GRS BRANCO USAPEL	
	PAPEL OPICIO A4	
	PAPEL TOALHA BRANCO 8X100M BROMELIA	
	PAPEL TOALHA INTERFOLHADO 1,000 FLS BRANCO	
	PAPEL TOALHA INTERFOLHADO 1.000 FLS	
	PAPEL TOALHA INTERFOLHADO 1.000 FLS BRANCO	
	PAPEL TOALHA INTERFOLHADO 1.000 FLS. BRANCO	
	PAPEL TOALHA ROLO 8X100 BRANCO	
	PAPEL TOALHA ROLO 8X100 BRANCO 100% CELULOSE	
	PAPEL TOALHA ROLO 8X100 BRANCO REC	
	PAPEL TOALHA ROLO 8X100 BRANCO REC.	
5001265	PAPEL TOALHAS FD C/8	
5001439	PAPEL TOALHAS INTERFOLHADO	
	PARAFINA	
	PARAFINA 25KG	
5003399	PARAFINA EM BARRA 5KG	
	PARAFUSADEIRA 127V BOSCH GSR7-14	
11176104710	PARAFUSO	SCREW FOR PURGE-AP 1/4
GK8-10-6-9	PARAFUSO - 	
SM542	PARAFUSO - 10-1-4	
SM5051	PARAFUSO - 10-1-5	
	PARAFUSO - 10-2-5	
US-J87J	PARAFUSO - 87U	
	PARAFUSO = 10-2-5	
	PARAFUSO 1/4.8	
2011	PARAFUSO 10-1-3	
2655	PARAFUSO 10-1-5	
	PARAFUSO 10-1-9	
	PARAFUSO 10-2-3	
5811	PARAFUSO 10-8-6	
	PARAFUSO 12MM	
	PARAFUSO 12X70	
	PARAFUSO 15X90	
	PARAFUSO 19"	
12470150118	PARAFUSO 22839	
	PARAFUSO 3X6	
	PARAFUSO 3X8	
12470150254	PARAFUSO 402	
	PARAFUSO 45MM	
	PARAFUSO 4X12	
	PARAFUSO 4X12MM	
	PARAFUSO 4X14	
	PARAFUSO 4X20	
	PARAFUSO 4X25	
	PARAFUSO 4X8	
	PARAFUSO 4X8MM	
	PARAFUSO 5X12	
	PARAFUSO 5X30	
	PARAFUSO 5X55	
	PARAFUSO 5X60	
	PARAFUSO 6X16	
GB-70-76 V	PARAFUSO 6X40	SCREW 6X40
	PARAFUSO 6X50	
	PARAFUSO 6X55	
	PARAFUSO 6X60	
2470150060	PARAFUSO 87	SCREW 87
12470150194	PARAFUSO 87U	
	PARAFUSO 8X50	
	PARAFUSO 8X50MM	
	PARAFUSO 8X55MM	
12470150074	PARAFUSO 9/D	
	PARAFUSO ALLEN	
	PARAFUSO ALLEN 15X58	
	PARAFUSO ALLEN 3X12	
	PARAFUSO ALLEN 4X12	
	PARAFUSO ALLEN 4X20	
	PARAFUSO ALLEN 4X25	
	PARAFUSO ALLEN 5X20	
	PARAFUSO ALLEN 5X40	
	PARAFUSO ALLEN 6MM	
	PARAFUSO ALLEN 6X20	
	PARAFUSO ALLEN 6X25	
	PARAFUSO ALLEN 6X50	
	PARAFUSO ALLEN 6X60	
	PARAFUSO ALLEN 8X50	
	PARAFUSO ALLEN M12X75	
	PARAFUSO ALLEN M4X10	
	PARAFUSO ALLEN M4X8	
	PARAFUSO ALLEN M5	
	PARAFUSO ALLEN M5X20	
	PARAFUSO ALLEN M5X6	
	PARAFUSO ALLEN M6X20	
	PARAFUSO ALLEN M6X25	
	PARAFUSO ALLEN M6X40	
	PARAFUSO ALLEN M6X60	
	PARAFUSO ALLEN M8	
	PARAFUSO ALLEN M8X35	
	PARAFUSO ALLEN M8X60MM	
	PARAFUSO ALLEN M8X65	
	PARAFUSO ALLEN M8X70	
12190304008	PARAFUSO ALLEN SEXT INOX 4X8MM	STAINLESS STEEL HEX SOCKET SCREW 4X8 MM
	PARAFUSO AUTO BRO GALV 14 X 1" CAB 3/8"	
	PARAFUSO AUTO BRO GALV 4,2X13 CAB PHILLIPS	
	PARAFUSO AUTO BROCANTE 12-14X2,1/2	
	PARAFUSO AUTO BROCANTE 14-14X1	
	PARAFUSO AUTO BROCANTE FLANG 4,2X19MM	
	PARAFUSO AUTO TRAVANTE 1/4"X1/2' (LENTILHA)	
	PARAFUSO C/CH SX INT MA 6X12	
	PARAFUSO C/CH SX INT MA 6X16	
	PARAFUSO C/CHATA 6X16	
018061-6-22	PARAFUSO CABEÇA ALLEN - 10-1-8	
	PARAFUSO CALÇADOR 10-8-3	
	PARAFUSO CICSXINTM3/8	
	PARAFUSO CL SI MA ET 3X6	
GK8-10-12	PARAFUSO DA BASE - 	
NL-87	PARAFUSO DA CHAPA - 	
US-95:387	PARAFUSO DA POLIA - 	
17010279	PARAFUSO DE EIXO COM ELEMENTOS HELICOIDAIS	SCREW SHAFT WITH SCREWELEMENTS
11131011310	PARAFUSO DE TENSÃO	TENSION BOLT DULY ZN PLATED
11408046000	PARAFUSO ESPECIAL	SPECIAL BOLT
US-88	PARAFUSO FENDA - 	
GK2-3-8-17	PARAFUSO FENDA - 10-6-3	
	PARAFUSO GK8 - 4-9	
5808	PARAFUSO GK8 9-5	
	PARAFUSO INOX 4X25	
2252	PARAFUSO LM8 10-1-1	
	PARAFUSO M12X55	
	PARAFUSO M3X6	
	PARAFUSO M3X8	
	PARAFUSO M4X12	
	PARAFUSO M4X20	
	PARAFUSO M4X25	
	PARAFUSO M4X30	
GB-70-76 Z	PARAFUSO M4X4	SCREW M4X4
	PARAFUSO M4X8	
GB-70-76 P	PARAFUSO M5X12	SCREW M5X12
GB-70-76	PARAFUSO M5X20	SCREW M5X20
12191405030	PARAFUSO M5X30MM	SOC HD SHOUIDER SCREW M5X30 12.9 BLK 
	PARAFUSO M6	
11147042500	PARAFUSO M6X40	SCREW M6X40
	PARAFUSO M8	
	PARAFUSO M8X55	
GB-70-85	PARAFUSO M8X65	SCREW
	PARAFUSO M8X85	
	PARAFUSO P/VASO B10	
	PARAFUSO PHILLIPS	
	PARAFUSO S/CABEÇA 5X5	
	PARAFUSO S/CABEÇA 8X8	
	PARAFUSO SEXT 10X20	
	PARAFUSO SEXT BICROMATIZADO 3/8 X 1	
	PARAFUSO SEXT M5X40	
	PARAFUSO SEXT M8X19	
	PARAFUSO SEXT.BICROM. 1/2"X1.1/2" AC UNC RI BC	
	PARAFUSO SEXTAVADO	
	PARAFUSO SEXTAVADO 15X90	
	PARAFUSO SEXTAVADO 6MM	
	PARAFUSO SEXTAVADO 8X70	
	PARAFUSO SEXTAVADO M5X40	
	PARAFUSO SEXTAVADO M8X70	
	PARAFUSO SEXTAVADO ROSCA 1/4X55MM	
	PARAFUSO SEXTAVADO ROSCA 1/4X55MM S-10	
	PARAFUSO SEXTAVADO ROSCA 3/16X40MM	
	PARAFUSO SEXTAVADO ROSCA 3/16X40MM S-6	
	PARAFUSO SEXTAVADO ROSCA 3/16X45MM	
	PARAFUSO SEXTAVADO ROSCA 3/16X45MM S-8	
	PARAFUSO SEXTAVADO ROSCA 5/16X60MM	
	PARAFUSO SEXTAVADO ROSCA 5/16X60MM S-12	
	PARAFUSO SEXTAVADO S-10 ROSCA SOBERBA	
	PARAFUSO SX 6MM	
	PARAFUSO US - 89 (NAC)	
	PARAFUSO/PORCA	
	PARAFUSOC/ABALOADA 6X16	
2005	PASSA FIO GK8 9-8	
	PASTA AZ L LARGO COMUM FRAMA TIGRADA	
5003853	PASTA AZ LL 75MM	
5004071	PASTA CATALOGO	
	PASTA CATALOGO PRETA 50 ENV FINO	
	PASTA DESENGRAXANTE	
	PASTA RETRATO AMARELA A4	
5002107	PASTA SUSPENSA P/ESCRITORIO	
	PÉ DE CABRA	
	PÉ DE CABRA REDONDO 3/4-60CM SÃO ROMÃO	
	PE DE MAQUINA	
	PE MR 13424	
	PEÇA DE COBRE	
	PELICULA DE PLASTICO ST 500X0,025MM	
	PENEIRA ARO 50 DE PLASTICO VERDE CHAPA RXPANDIDA	
	PENEIRA GRANDE	
12470100005	PENTAGONAL CERAMIC BLADE 07US030	
11405310000	PENTE DO ANEL DO BAG	READ STNP (IMM)
	PENTE ESTANHO CARBONO CURVADO	
	PENTE ESTANHO CARBONO TEMPERADO CURVO N 4CM	
11407263000	PENTE EXTERNO	OUTER REED
	PERFIL DOB "U" 25X25X2,00MMX3M	
	PERFIL DOB."U'50X25X2,65MMX6M	
	PERFIL DOBRADO SOB ENCOMENDA CH FF20	
	PERFIL DOBRADO SOB ENCOMENDA CH FQ 3/16" 1.50	
	PERFIL ENRIJ "C" 100X38X10X2,65MMX6M	
	PERFIL ENRIJ "C" 75X38X10X2,65MMX6M	
	PERFIL GUIA ZC STANLEY 2" X 3M	
	PERFILADO PERF 38X38X6000MM CH22	
	PERFURADOR DE PAPEL	
JYF-E30-17	PESCADOR	LATCH STOP
11401767000	PESO TEAR LEVE	
14460001004	PHOTOELECT SENSOR PNP NO 24 VDC M8	
	PIA P/LAVATORIO	
	PILHA	
	PILHA ALCAL PALITO AA C/2 PANASONIC	
	PILHA ALCAL PALITO AAA C/2 PANASONIC	
5000773	PILHA ALCALINA PANASONIC AA2	
5000774	PILHA ALCALINA PANASONIC AAA2	
12609500796	PILOTED CHECK VALVE	
12609500796	PILOTED CHECK VALVE 	PILOTED CHECK VALVE 
11422362010	PIN (MOUTH OPENER LIFT)	PIN (MOUTH OPENER LIFT)
11406384020	PIN FONT BEARING BLOCK	PIN FONT BEARING BLOCK
11406382000	PIN FOR  BEARING BLOCK	PIN FOR  BEARING BLOCK
11406382000	PIN FOR BEARING BLOCK	
11157081700	PIN FOR LINK	PIN FOR LINK
5001320	PINCEL ATOMICO 1100P PRETO	
	PINCEL ATOMICO PILOT 1100P AZUL	
	PINCEL ATOMICO PILOT 1100P PRETO	
	PINCEL ATOMICO PILOT 1100P VERMELHO	
5001319	PINCEL ATOMICO PILOTO AZUL	
	PINCEL ATOMICO VERMELHO	
	PINCEL MARCAD PERM RETRO 2,0MM AZUL PILOT	
	PINCEL P/ QUADRO BRANCO AZUL	
	PINCEL P/RETRO 2.0MM PRETO PILOT	
11131322800	PINHÃO DE EIXO	SHAFT PINION-1OT
11130870950	PINION 20T	20-TOOTH PINION
1479	PINO 51745	
JYF-E30-03	PINO BLOCO	
12330702014	PINO CAVILHA H&G M6 DIA2X14 PRETO	DOWEL PIN H&G M6 DIA2X14 BLK
	PINO DA BIELA - 3-7	
11158055410	PINO DE ARTICULAÇÃO	PIVOT PIN
12330705032	PINO DE ENCAIXE H&G M6 DIA 5X32 BLK	DOWEL PIN H&GM6 DIA5X32 BLK
12331204032	PINO DE PASSAGEM DA MOLA PRETO	
11157098900	PINO DE ROLO	ROLLER PIN
JYF-E30-19	PINO DE SEGURANÇA DA MESA	TABLE SAFETY PIN
JYF-E30-03	PINO DO BLOCO	WEFT AXLE
	PINO EIXO DIREÇÃO	
GB-91-86	PINO ELASTICO DA MESA	SPRING PIN
11406382000	PINO PARA BLOCO DE ROLAMENTO	PIN FOR  BEARING BLOCK
12330702008	PINO PASSADOR H&G M6 DIA 2X8 PRETO	DOWEL PIN H&G M6 DIA 2X8 BLK
11130431400	PINO PIVÔ	PIVOT PIN-62
JYF-E30-18	PINO ROSCA ESQUERDA	AXLE
	PINO SEXTAVADO	
	PISTOLA DE PINTURA SPP-HVLPO2 ALUMINIO MANG. P/40PSI	
	PISTOLA P/LOFIL 80	
	PISTOLA P/PINTURA CH PP-14	
11408807000	PIVOT CAP-28	
11158073000	PIVOT PIN	PIVOT PIN
11147252550	PLACA ADAPTADORA RJ45 4 FIOS COOM	RJ 45 ADAPTER CARD 4 WIRE COMM
11147250081	PLACA AMPLIFICADORA PARA CÉLULA DE CARGA	AMPLIFIER CARD FOR LOAD CELL
11147250329	PLACA CBM PARA AW	CBM CARD FOR AW
11130508010	PLACA DE CONEXÃO	CONNECTING PLATE
	PLACA MONTAGEM PAINEL 150X60 PM-CPD	
	PLAFON PLASTICO 1XE27 C/BOCAL PORCEL 100W	
12491307002	PLAIN BUSH DIA 70X75X50	PLAIN BUSH DIA 70X75X50
12491307001	PLAIN BUSH DIA70X75X40	PLAIN BUSH DIA70X75X40
14012006000	PLC INT RELAY 24VDC 1PTD 6A PHOENIX	
	PLUG FEMEA 10A	
5002368	PLUG FEMEA 20A	
	PLUG FEMEA 2P 10A 250V	
	PLUG FEMEA 2P 20A 250V	
	PLUG FEMEA 2P+T20A PT	
5003596	PLUG MACHO 10A	
5002369	PLUG MACHO 20A	
	PLUG MACHO 2P+T 10A	
	PLUG MACHO 2P+T 20A	
12495100511	PLUG SOCKET- MSSD F FS #34431	PLUG SOCKET- MSSD F FS #34431
12609500566	PLUG SOCKET MSSD-EB	PLUG SOCKET MSSD-EB
14720000200	PLUG-MALE ROUND 2P/PIN 20A 	PLUG-MALE ROUND 2P/PIN 20A 
	PNEU 18X7-8/4.33 XP100 - TRELLEBORG	
	PNEU 28X9-15(7,00)	
	PNEU 6,50-10 SD101 SUNDOM MACICO	
12470311287	PNEU CYL DSBC-40-80-PPVA-N3, FS#1376659	PNEU CYL DSBC-40-80-PPVA-N3, FS#1376659
12470311286	PNEU CYL DSNU-12-15-P-A, FS#1908255	PNEU CYL DSNU-12-15-P-A, FS#1908255
12470311285	PNEU CYL DSNU-35-25-P-A, FS#1908255	PNEU CYL DSNU-35-25-P-A, FS#1908255
	PO SX MA 3" ZB	
	PO SX MA 4" ZB	
	PO SX MA 5" ZB	
	PO SX MA 6" ZB	
	POLASEAL P/PLASTIF. A4 0.05 220MMX307MM	
5847	POLIA 9-1	
11131511010	POLIA DEFLETORA	DEFLECTING PULLEY
11158954300	POLIA DEFLETORA INFERIOR	LOWER DEFLECTING PULLEY
14716269100	POLY CONNECTOR 269A YELLOW 1POLE /WAY 	POLY CONNECTOR 269A YELLOW 1POLE /WAY 
14716269200	POLY CONNERCTOR 269A BLUE 1POLE/WAY 	POLY CONNERCTOR 269A BLUE 1POLE/WAY 
	PONTEIRA PHILLIPS PH 2X152MM	
	PORCA	
	PORCA - 10-13-6-1	
	PORCA - 10-13-6-2	
	PORCA 10-13-6-1	
	PORCA 10-13-6-2	
	PORCA 10MM	
	PORCA 15	
	PORCA 19'	
	PORCA 3/8	
	PORCA 5X60	
	PORCA ALLEN	
	PORCA BICROMATIZADA SEXTAVADA 1/2	
	PORCA BICROMATIZADA SEXTAVADA 3/8	
	PORCA CURTA LT 1/2	
